open,high,low,close,volume,SMA_7,SMA_21,EMA_7,EMA_21,RSI,Upper_Bollinger,Lower_Bollinger,Daily_Return,Log_Return,Rolling_Volatility_7,Rolling_Volatility_21,ATR_14,Volume_MA_7,Volume_MA_21,Volume_ROC,Price_Spread,Close_Open_Spread
18.76,18.76,18.75,18.75,500,18.755714285714284,18.711904761904762,18.75272562173127,18.714864452330655,66.666666666666,18.791026224096754,18.639973775903243,-0.0010655301012253426,-0.001066098181997612,0.001896763632322614,0.003916440033212184,0.01500000000000006,1416.7142857142858,1236.7619047619048,0.9305019305019304,0.010000000000001563,-0.010000000000001563
18.73,18.75,18.73,18.75,1463,18.75714285714286,18.717142857142857,18.75204421629845,18.718058593027866,74.99999999999889,18.790830048979586,18.650169951020416,0.0,0.0,0.001896763632322614,0.00392003196695198,0.01500000000000006,1225.2857142857142,1217.2857142857142,1.9260000000000002,0.019999999999999574,0.019999999999999574
18.75,18.75,18.75,18.75,687,18.75857142857143,18.721904761904764,18.751533162223836,18.72096235729806,71.42857142857034,18.790373421285132,18.65962657871487,0.0,0.0,0.001896763632322614,0.00391996899792385,0.013571428571428663,923.4285714285714,1222.8095238095239,-0.5304169514695831,0.0,0.0
18.76,18.78,18.76,18.77,6834,18.76142857142857,18.727142857142855,18.756149871667876,18.72542032481642,71.42857142857034,18.792911801252536,18.667088198747457,0.0010666666666665492,0.0010660981819975116,0.0021096183681132653,0.003995093825252118,0.014285714285714488,1709.7142857142858,1538.7142857142858,8.947598253275109,0.019999999999999574,0.00999999999999801
18.77,18.77,18.77,18.77,500,18.762857142857143,18.73190476190476,18.759612403750907,18.72947302256038,71.42857142857034,18.796374083686946,18.67162591631305,0.0,0.0,0.00206424622199071,0.00399503423855103,0.014285714285714488,1513.2857142857142,1538.7142857142858,-0.9268364062042728,0.0,0.0
18.77,18.79,18.77,18.79,2700,18.764285714285712,18.736666666666665,18.76720930281318,18.734975475054892,79.99999999999953,18.804267467653332,18.67073253234667,0.0010655301012252316,0.0010649628269563684,0.002063928570845955,0.0039938134308322775,0.01500000000000006,1849.0,1631.5714285714287,4.4,0.019999999999999574,0.019999999999999574
18.79,18.8,18.79,18.8,2197,18.768571428571427,18.74047619047619,18.775406977109885,18.740886795504448,78.57142857142838,18.811395136792314,18.67460486320769,0.0005321979776478081,0.0005320564105296975,0.001970011872135625,0.003749469885744163,0.013571428571428663,2125.8571428571427,1712.7142857142858,-0.1862962962962963,0.010000000000001563,0.010000000000001563
18.8,18.8,18.76,18.77,11435,18.77142857142857,18.744285714285713,18.774055232832414,18.74353345045859,60.0,18.808035077465696,18.6879649225343,-0.0015957446808511078,-0.0015970192374861148,0.0024006027950337285,0.0037460256295532885,0.01500000000000006,3688.0,2159.5238095238096,4.204824761037779,0.03999999999999915,-0.030000000000001137
18.79,18.79,18.78,18.78,452,18.775714285714287,18.74952380952381,18.77554142462431,18.74684859132599,62.50000000000028,18.80751196042199,18.697488039578012,0.0005327650506128379,0.0005326231816995566,0.0024201141660559165,0.003509155803441825,0.015714285714285885,3543.5714285714284,2162.0,-0.9604722343681679,0.00999999999999801,-0.00999999999999801
18.8,18.85,18.8,18.8,3997,18.782857142857143,18.754761904761907,18.781656068468234,18.75168053756908,66.66666666666666,18.81209799881739,18.701902001182614,0.0010649627263046302,0.001064396055786723,0.0025342880097015685,0.003507675696417827,0.020000000000000333,4016.4285714285716,2223.190476190476,7.842920353982301,0.05000000000000071,0.0
18.8,18.81,18.8,18.8,843,18.787142857142857,18.759047619047617,18.786242051351174,18.756073215971888,64.70588235294093,18.815116572457608,18.707883427542388,0.0,0.0,0.00241942640596352,0.0034165560718537303,0.02000000000000008,3160.5714285714284,2253.809523809524,-0.7890918188641481,0.00999999999999801,0.0
18.81,18.81,18.81,18.81,300,18.792857142857144,18.76380952380952,18.79218153851338,18.760975650883534,64.7058823529402,18.816460244535083,18.717539755464916,0.0005319148936169249,0.0005317734770354009,0.002419281061551102,0.003420557324763671,0.019999999999999827,3132.0,2239.3809523809523,-0.6441281138790036,0.0,0.0
18.82,18.82,18.81,18.82,2300,18.79714285714286,18.769523809523808,18.799136153885033,18.76634150080321,62.49999999999944,18.821672612383978,18.72232738761602,0.0005316321105794941,0.0005314908442945724,0.0022781413456499683,0.0033273485667557846,0.019285714285714257,3074.8571428571427,2317.9523809523807,6.666666666666667,0.010000000000001563,0.0
18.82,18.87,18.82,18.87,1902,18.807142857142857,18.776666666666667,18.816852115413774,18.775765000730193,75.0,18.842498355241997,18.714501644758005,0.002656748140276388,0.002653225223225358,0.003348195524200536,0.0040173580440943475,0.02214285714285705,3032.714285714286,2191.7619047619046,-0.17304347826086952,0.05000000000000071,0.05000000000000071
